Experiment,Dataset,Deviation,Trace Threshold,Anomaly Threshold,Lower Boundary,Cohens Boundary,Model Epsilon,Drift Actual,Drifts detected,at event,at event actual,exe time,cohens score
1,recurring_100,2.0,0.8,220,0.8,13,0.25,1,DriftType.SUDDEN,661,0,4.147096157073975,20.639517784740192
1,recurring_100,2.0,0.8,220,0.8,13,0.25,1,DriftType.SUDDEN_RECURRING,964,0,4.147096157073975,17.765251168317416
1,recurring_100,2.0,0.8,220,0.8,13,0.25,1,DriftType.INCREMENTAL_RECURRING,1028,0,4.147096157073975,5.506622799152499
1,recurring_100,2.0,0.8,220,0.7,13,0.25,1,DriftType.INCREMENTAL,623,0,3.8283145427703857,12.613894371216318
1,recurring_100,2.0,0.8,220,0.7,13,0.25,1,DriftType.INCREMENTAL_RECURRING,933,0,3.8283145427703857,10.953392518982046
1,recurring_100,2.0,0.8,220,0.7,13,0.25,1,DriftType.INCREMENTAL_RECURRING,1028,0,3.8283145427703857,5.420363251615933
1,recurring_100,2.0,0.8,220,0.6,13,0.25,1,DriftType.INCREMENTAL,565,0,3.4000113010406494,12.332676162409749
1,recurring_100,2.0,0.8,220,0.6,13,0.25,1,DriftType.INCREMENTAL_RECURRING,885,0,3.4000113010406494,10.005168024732061
1,recurring_100,2.0,0.8,220,0.6,13,0.25,1,DriftType.INCREMENTAL_RECURRING,985,0,3.4000113010406494,7.009926650890588
1,recurring_100,2.0,0.8,220,0.6,13,0.25,1,DriftType.INCREMENTAL_RECURRING,995,0,3.4000113010406494,12.325072860198413
1,recurring_100,2.0,0.8,220,0.6,13,0.25,1,DriftType.INCREMENTAL_RECURRING,998,0,3.4000113010406494,4.811916907485314
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL,379,0,2.7600901126861572,11.925064313600949
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,381,0,2.7600901126861572,6.717086697551577
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,382,0,2.7600901126861572,8.944026411948686
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,389,0,2.7600901126861572,6.916771449010306
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,390,0,2.7600901126861572,8.96082755182163
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,402,0,2.7600901126861572,6.937449775007775
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,403,0,2.7600901126861572,8.907801433932232
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,410,0,2.7600901126861572,6.872186860682362
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,411,0,2.7600901126861572,8.904762383953713
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,417,0,2.7600901126861572,6.869443989274909
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,526,0,2.7600901126861572,9.873919851451207
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,844,0,2.7600901126861572,38.34596938569639
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,908,0,2.7600901126861572,10.234758877918676
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,909,0,2.7600901126861572,8.85889601854567
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,916,0,2.7600901126861572,10.021968174598745
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,918,0,2.7600901126861572,10.979946073326662
1,recurring_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,920,0,2.7600901126861572,5.527994867238278
1,recurring_100,2.0,0.7,220,0.8,13,0.25,1,DriftType.SUDDEN,661,0,3.9570634365081787,20.639517784740192
1,recurring_100,2.0,0.7,220,0.8,13,0.25,1,DriftType.SUDDEN_RECURRING,964,0,3.9570634365081787,17.765251168317416
1,recurring_100,2.0,0.7,220,0.7,13,0.25,1,DriftType.SUDDEN,623,0,3.462919235229492,20.585653695061527
1,recurring_100,2.0,0.7,220,0.7,13,0.25,1,DriftType.SUDDEN_RECURRING,933,0,3.462919235229492,19.59863009531947
1,recurring_100,2.0,0.7,220,0.6,13,0.25,1,DriftType.SUDDEN,565,0,2.779987096786499,20.6604239527365
1,recurring_100,2.0,0.7,220,0.6,13,0.25,1,DriftType.SUDDEN_RECURRING,885,0,2.779987096786499,19.396757480826917
1,recurring_100,2.0,0.7,220,0.5,13,0.25,1,DriftType.SUDDEN,526,0,2.3800487518310547,20.577046798344337
1,recurring_100,2.0,0.7,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,844,0,2.3800487518310547,38.594722741138156
1,recurring_100,2.0,0.6,220,0.8,13,0.25,1,DriftType.SUDDEN,661,0,3.76985502243042,20.639517784740192
1,recurring_100,2.0,0.6,220,0.8,13,0.25,1,DriftType.SUDDEN_RECURRING,964,0,3.76985502243042,17.765251168317416
1,recurring_100,2.0,0.6,220,0.7,13,0.25,1,DriftType.SUDDEN,623,0,3.470163583755493,20.585653695061527
1,recurring_100,2.0,0.6,220,0.7,13,0.25,1,DriftType.SUDDEN_RECURRING,928,0,3.470163583755493,19.59407888744368
1,recurring_100,2.0,0.6,220,0.6,13,0.25,1,DriftType.SUDDEN,565,0,2.6899592876434326,20.6604239527365
1,recurring_100,2.0,0.6,220,0.6,13,0.25,1,DriftType.SUDDEN_RECURRING,885,0,2.6899592876434326,19.396757480826917
1,recurring_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.SUDDEN,526,0,1.7299859523773193,20.577046798344337
1,recurring_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.SUDDEN,699,0,1.7299859523773193,43.59586417564628
1,recurring_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,700,0,1.7299859523773193,6.543158177617642
1,recurring_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,701,0,1.7299859523773193,48.58738283083609
1,recurring_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,702,0,1.7299859523773193,13.368499234914612
1,recurring_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,703,0,1.7299859523773193,50.390697064627986
1,recurring_100,2.0,0.5,220,0.8,13,0.25,1,DriftType.SUDDEN,661,0,3.7449302673339844,20.639517784740192
1,recurring_100,2.0,0.5,220,0.8,13,0.25,1,DriftType.SUDDEN_RECURRING,964,0,3.7449302673339844,17.765251168317416
1,recurring_100,2.0,0.5,220,0.7,13,0.25,1,DriftType.SUDDEN,623,0,3.3665592670440674,20.585653695061527
1,recurring_100,2.0,0.5,220,0.7,13,0.25,1,DriftType.SUDDEN_RECURRING,928,0,3.3665592670440674,19.59407888744368
1,recurring_100,2.0,0.5,220,0.6,13,0.25,1,DriftType.SUDDEN,565,0,2.7885560989379883,20.6604239527365
1,recurring_100,2.0,0.5,220,0.6,13,0.25,1,DriftType.SUDDEN_RECURRING,885,0,2.7885560989379883,19.396757480826917
1,recurring_100,2.0,0.5,220,0.5,13,0.25,1,DriftType.SUDDEN,526,0,2.655879497528076,20.577046798344337
1,recurring_100,2.0,0.5,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,844,0,2.655879497528076,58.9689189821177
